scen;offshore_capex;onshore_capex;pv_capex;battery_capex;methanation_capex;offshore_opex;onshore_opex;pv_opex;methanation_opex
273;2912,5;1412,5;211,7;50;1725;58,25;42,375;4,4457;89
274;2912,5;1412,5;211,7;100;575;58,25;42,375;4,4457;29,7
275;2912,5;1412,5;211,7;100;1150;58,25;42,375;4,4457;59,3
276;2912,5;1412,5;211,7;100;1725;58,25;42,375;4,4457;89
277;2912,5;1412,5;211,7;150;575;58,25;42,375;4,4457;29,7
278;2912,5;1412,5;211,7;150;1150;58,25;42,375;4,4457;59,3
279;2912,5;1412,5;211,7;150;1725;58,25;42,375;4,4457;89
280;2912,5;1412,5;317,55;50;575;58,25;42,375;8,8893;29,7
281;2912,5;1412,5;317,55;50;1150;58,25;42,375;8,8893;59,3
282;2912,5;1412,5;317,55;50;1725;58,25;42,375;8,8893;89
283;2912,5;1412,5;317,55;100;575;58,25;42,375;8,8893;29,7
284;2912,5;1412,5;317,55;100;1150;58,25;42,375;8,8893;59,3
285;2912,5;1412,5;317,55;100;1725;58,25;42,375;8,8893;89
286;2912,5;1412,5;317,55;150;575;58,25;42,375;8,8893;29,7
287;2912,5;1412,5;317,55;150;1150;58,25;42,375;8,8893;59,3
288;2912,5;1412,5;317,55;150;1725;58,25;42,375;8,8893;89
289;2912,5;1412,5;423,4;50;575;58,25;42,375;8,8893;29,7
290;2912,5;1412,5;423,4;50;1150;58,25;42,375;8,8893;59,3
291;2912,5;1412,5;423,4;50;1725;58,25;42,375;8,8893;89
292;2912,5;1412,5;423,4;100;575;58,25;42,375;8,8893;29,7
293;2912,5;1412,5;423,4;100;1150;58,25;42,375;8,8893;59,3
294;2912,5;1412,5;423,4;100;1725;58,25;42,375;8,8893;89
295;2912,5;1412,5;423,4;150;575;58,25;42,375;8,8893;29,7
296;2912,5;1412,5;423,4;150;1150;58,25;42,375;8,8893;59,3
297;2912,5;1412,5;423,4;150;1725;58,25;42,375;8,8893;89
298;2912,5;1412,5;529,25;50;575;58,25;42,375;8,8893;29,7
299;2912,5;1412,5;529,25;50;1150;58,25;42,375;8,8893;59,3
300;2912,5;1412,5;529,25;50;1725;58,25;42,375;8,8893;89
301;2912,5;1412,5;529,25;100;575;58,25;42,375;8,8893;29,7
302;2912,5;1412,5;529,25;100;1150;58,25;42,375;8,8893;59,3
303;2912,5;1412,5;529,25;100;1725;58,25;42,375;8,8893;89
304;2912,5;1412,5;529,25;150;575;58,25;42,375;8,8893;29,7
